home_team_name,away_team_name,match_descr,score
Brazil,Croatia,Round 1,3-1
Mexico,Cameroon,Round 1,1-0
Spain,Netherlands,Round 1,1-5
Chile,Australia,Round 1,3-1
Colombia,Greece,Round 1,3-0
Uruguay,Costa Rica,Round 1,1-3
England,Italy,Round 1,1-2
Ivory Coast,Japan,Round 1,2-1
Switzerland,Ecuador,Round 1,2-1
France,Honduras,Round 1,3-0
Argentina,Bosnia/Herze.,Round 1,2-1
Germany,Portugal,Round 1,4-0
Iran,Nigeria,Round 1,0-0
Ghana,United States,Round 1,1-2
Belgium,Algeria,Round 1,2-1
Brazil,Mexico,Round 2,0-0
Russia,South Korea,Round 1,1-1
Australia,Netherlands,Round 2,2-3
Spain,Chile,Round 2,0-2
Cameroon,Croatia,Round 2,0-4
Colombia,Ivory Coast,Round 2,2-1
Uruguay,England,Round 2,2-1
Japan,Greece,Round 2,0-0
Italy,Costa Rica,Round 2,0-1
Switzerland,France,Round 2,2-5
Honduras,Ecuador,Round 2,1-2
Argentina,Iran,Round 2,1-0
Germany,Ghana,Round 2,2-2
Nigeria,Bosnia/Herze.,Round 2,1-0
Belgium,Russia,Round 2,1-0
South Korea,Algeria,Round 2,2-4
United States,Portugal,Round 2,2-2
Australia,Spain,Round 3,0-3
Netherlands,Chile,Round 3,2-0
